Arabic,English
لا,No
من,from
في,in
أن,that
هذا,this
على,on me
ما,what
أنا,I
هل,Do you
و,And
يا,Hey
ذلك,that
لقد,lhave
لم,did not
ماذا,what
كان,It was
هنا,here
إلى,to me
أنت,You are
هو,he
هذه,This is amazing
عن,About
نعم,yes
ان,that
هناك,there
كل,All
ليس,Not
كنت,I was
فقط,Just
شيء,Thing
الآن,right Now
مع,With
الذي,Which
لكن,But
أجل,okay
لك,for you
يجب,Must
لن,will not
كيف,How do
حسنا,good
انا,I am
لي,for me
إنه,it's a
سوف,Will
نحن,we
إذا,if
كانت,She was
عندما,When
أي,any
قد,may be
لماذا,Why
هي,she
الأمر,Order
أنه,it's a
حتى,until
بعد,distance
أو,or
ولكن,But
قبل,Before
التي,that
انه,it's a
إنها,It
ـ,-
لو,if
ربما,Maybe
أين,where
هيا,Let's go
تلك,That
أعرف,I know
الى,to me
إن,that
يكون,is being
بعض,Some
أريد,I want
انت,you
عليك,on you
مثل,like
صحيح,True
به,with it
أنك,You are
الوقت,the time
بخير,Fine
أعلم,Know
أحد,One
شخص,Person
جداً,very
رجل,a leg
شكراً,Thanks
لذا,So
يمكن,Could
كما,as
كلا,both
أكثر,more
يبدو,sound
جيد,good
تكون,Formation
علي,On
اليوم,Today
يمكنك,you may
انها,It
مرحباً,Welcome
لدي,I have
عليه,on him
آخر,else
لست,Prejudice
منذ,Ago
غير,not
أيها,O you
لديك,You have
حقاً,Oh really
أنتِ,you
تريد,You want
أستطيع,I can
الرجل,the man
تعرف,to get to know
له,for him
مرة,Once
لدينا,we've got
أنها,It
بأن,That
واحد,One
أنني,I am
أوه,Oh
سيكون,Will be
الناس,the people
ليست,Not
حدث,It happened
بها,In
أيضاً,also
أفضل,better
الكثير,a lot
علينا,We
سيدي,my lord
مكان,Place
تفعل,are doing
وقت,time
يكن,Be
ط,I
شئ,a thing
بهذا,by this
اذا,if
بي,with me
أخرى,Others
آسف,Sorry
بك,Infection
رائع,Wonderful
بذلك,Thus
كم,How many
إذاً,if
ثم,then
شيئاً,Something
يوجد,exist
واحدة,one
ولا,no
قلت,I said
يحدث,Happen or occur
بالطبع,naturally
شكرا,Thanks
مرحبا,welcome
يوم,day
أبي,My Father
معك,with you
لها,to her
سيد,Mr
تعلم,Learn
إذن,So
العمل,the work
تم,It was completed
المكان,Place
الليلة,Tonight
إلهي,divine
لهذا,For this
فعل,an act
هكذا,So
أمي,Illiterate
لذلك,So
ألا,Except
لـ,For
الان,right Now
حول,Around
بما,In
حقا,truly
الحقيقة,the truth
الجميع,everybody
يمكننا,We can
بالتأكيد,Definitely
لأن,because
لديه,he have
لنا,for us
